row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Sample4_tokens,Sample5_tokens
291,68,7598,7666,6870,1374.0,2788,0.904185,777,790,1571,944,2788
292,68,4412,4480,3932,786.4,1151,0.891206,1151,669,371,858,883
293,68,12003,12071,10412,2082.4,4353,0.86745,2042,2139,4353,678,1200
294,68,5689,5757,4972,994.4,1385,0.873967,961,1385,733,725,1168
295,68,7896,7964,6803,1360.6,1748,0.861575,1264,1499,1748,1698,594
296,68,8592,8660,7007,1401.4,2356,0.815526,687,599,2356,1192,2173
297,68,5841,5909,5306,1061.2,1175,0.908406,1046,1070,1025,990,1175
298,68,3954,4022,3337,667.4,843,0.843955,624,621,627,843,622
299,68,15433,15501,12883,2576.6,5703,0.83477,999,3254,1891,1036,5703
300,68,5271,5339,4547,909.4,1371,0.862645,997,662,724,793,1371
301,68,4931,4999,4285,857.0,1518,0.868992,561,433,1518,643,1130
302,68,6509,6577,5923,1184.6,2050,0.909971,669,1069,1592,2050,543
303,68,7291,7359,6648,1329.6,2139,0.911809,957,755,755,2042,2139
304,68,13323,13391,12231,2446.2,4146,0.918036,3976,4146,1704,1142,1263
305,68,9183,9251,7029,1405.8,2237,0.765436,2237,1715,1170,578,1329
306,68,6159,6227,5645,1129.0,2893,0.916545,746,658,637,2893,711
307,68,6579,6647,5252,1050.4,1773,0.798298,1773,784,1149,731,815
308,68,9579,9647,8448,1689.6,2352,0.881929,2352,1291,1634,1602,1569
309,68,11947,12015,8821,1764.2,3236,0.738344,996,3236,1881,1097,1611
310,68,8811,8879,7119,1423.8,1878,0.807967,1821,1531,850,1039,1878
311,68,6021,6089,5204,1040.8,1306,0.864308,951,1306,942,798,1207
312,68,5855,5923,4733,946.6,1559,0.808369,1055,580,1559,771,768
313,68,6863,6931,6256,1251.2,1978,0.911555,1799,558,1978,924,997
314,68,21260,21328,16864,3372.8,4548,0.793227,4548,4350,2056,1431,4479
315,68,4624,4692,3937,787.4,1005,0.851427,684,842,773,1005,633
316,68,12045,12113,11467,2293.4,4055,0.952013,999,1818,661,4055,3934
317,68,11788,11856,10968,2193.6,3488,0.930438,972,2751,2743,3488,1014
318,68,9986,10054,8580,1716.0,2570,0.859203,1399,2570,2435,899,1277
319,68,6042,6110,5165,1033.0,1683,0.854849,877,1683,790,1027,788
320,68,6857,6925,5594,1118.8,2171,0.815809,844,820,790,2171,969
321,68,8553,8621,7397,1479.4,2080,0.864843,1703,2080,952,1350,1312
322,68,6659,6727,6147,1229.4,1628,0.923112,1628,1272,1184,1037,1026
323,68,9644,9712,9052,1810.4,2966,0.938615,1254,1767,2966,1546,1519
324,68,6556,6624,6064,1212.8,1253,0.924954,1207,1190,1207,1207,1253
325,68,2960,3028,2554,510.8,636,0.862838,473,470,502,473,636
326,68,6757,6825,6096,1219.2,2047,0.902176,901,955,2047,1390,803
327,68,5329,5397,4693,938.6,998,0.880653,998,911,946,929,909
328,68,7075,7143,6115,1223.0,1418,0.864311,1084,1316,1234,1418,1063
329,68,5107,5175,4518,903.6,1486,0.884668,617,599,1486,1236,580
330,68,4832,4900,3651,730.2,900,0.755588,843,622,900,662,624
331,68,7895,7963,6934,1386.8,1969,0.878277,1129,747,1138,1969,1951
332,68,6294,6362,5329,1065.8,1704,0.846679,850,655,1704,1431,689
333,68,13662,13730,9562,1912.4,4114,0.699898,4114,2861,659,1280,648
334,68,9689,9757,7463,1492.6,2719,0.770255,2573,628,2719,957,586
335,68,8011,8079,6917,1383.4,1697,0.863438,1218,1325,1697,1301,1376
336,68,7219,7287,5636,1127.2,1638,0.780718,946,976,855,1638,1221
337,68,4999,5067,4602,920.4,930,0.920584,885,927,930,930,930
338,68,5800,5868,4960,992.0,1130,0.855172,1061,852,1130,863,1054
